scenario_id,attack_type,attack_rate,attack_severity,configuration_id,comparison_type,classifier,reference_classifier,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,reference_configuration_id
mixed__r0p01__medium,mixed,0.01,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.16156612339826096,0.037516562525525404,-0.20814908842260335,-0.11498315837391856,
mixed__r0p01__medium,mixed,0.01,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.06781780076182038,0.09463887957187035,-0.18532749035664683,0.04969188883300607,
mixed__r0p01__medium,mixed,0.01,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.2333333333333333,0.10992421631894102,0.09684439139923307,0.36982227526743355,
mixed__r0p03__medium,mixed,0.03,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.16722337804071805,0.012733669682423121,-0.18303431725041416,-0.15141243883102193,
mixed__r0p03__medium,mixed,0.03,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.09695877008580703,0.08267068127089346,-0.1996079787269352,0.005690438555321156,
mixed__r0p03__medium,mixed,0.03,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.1255555555555556,0.07714024425648792,0.029773291449553707,0.22133781966155747,
mixed__r0p03__medium,mixed,0.03,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.16722329807026817,0.012733703469540376,-0.18303427923221138,-0.15141231690832496,
mixed__r0p03__medium,mixed,0.03,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.09695877008580703,0.08267068127089346,-0.1996079787269352,0.005690438555321156,
mixed__r0p03__medium,mixed,0.03,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.1255555555555556,0.07714024425648792,0.029773291449553707,0.22133781966155747,
mixed__r0p03__medium,mixed,0.03,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.17176422551708515,0.014237444849660958,-0.1894423482133348,-0.15408610282083549,
mixed__r0p03__medium,mixed,0.03,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.10201895819171658,0.09521812949347193,-0.22024788156015868,0.016209965176725502,
mixed__r0p03__medium,mixed,0.03,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.22333333333333333,0.06865102302925254,0.1380918295979852,0.3085748370686815,
mixed__r0p05__medium,mixed,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.1709340495470813,0.005336291626686389,-0.17755993074385926,-0.16430816835030335,
mixed__r0p05__medium,mixed,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.10165649112929694,0.07267057391669642,-0.1918889264905361,-0.011424055768057773,
mixed__r0p05__medium,mixed,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.11799999999999997,0.09711390791802743,-0.002582843186785991,0.2385828431867859,
mixed__r0p05__medium,mixed,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.17093388738738438,0.005336295785503098,-0.17755977374801532,-0.16430800102675344,
mixed__r0p05__medium,mixed,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.10165649112929694,0.07267057391669642,-0.1918889264905361,-0.011424055768057773,
mixed__r0p05__medium,mixed,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.11799999999999997,0.09711390791802743,-0.002582843186785991,0.2385828431867859,
mixed__r0p05__medium,mixed,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.17377067240643457,0.008937842037726922,-0.18486846908632107,-0.16267287572654807,
mixed__r0p05__medium,mixed,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.09966347016469111,0.07237048336577842,-0.189523293892654,-0.00980364643672825,
mixed__r0p05__medium,mixed,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.21000000000000002,0.09116529554118229,0.09680333464081786,0.3231966653591822,
mixed__r0p10__medium,mixed,0.1,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.18424505130767732,0.004895283055467811,-0.19032334803867346,-0.17816675457668119,
mixed__r0p10__medium,mixed,0.1,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.09917679438451077,0.04533891028770233,-0.15547248700658578,-0.04288110176243577,
mixed__r0p10__medium,mixed,0.1,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.11000000000000001,0.11128666686635116,-0.028180647728153763,0.2481806477281538,
mixed__r0p10__medium,mixed,0.1,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.18424470629470918,0.00489458117350051,-0.19032213152413552,-0.17816728106528285,
mixed__r0p10__medium,mixed,0.1,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.09917679438451077,0.04533891028770233,-0.15547248700658578,-0.04288110176243577,
