stage,comparison_tier,classifier,phase,metric,unit,candidate_configuration_id,reference_configuration_id,candidate_mean,reference_mean,mean_difference,std_difference,mean_percent_change,ci95_low,ci95_high,n,df,t_critical,aggregation_hierarchy
V0.9-F,primary,decision_tree,inference,inference_latency_sec,seconds,BGWO,BPSO-K10,0.002057713424373446,0.0020621767170700875,-4.463292696641396e-06,0.00017977562498747203,0.28239316680270266,-0.00022768420554046334,0.00021875762014718052,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,per_record_latency_sec,seconds,BGWO,BPSO-K10,3.429522373955744e-07,3.4369611951168127e-07,-7.438821161069169e-10,2.9962604164578655e-08,0.2823931668026975,-3.7947367590077214e-08,3.6459603357863386e-08,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,process_cpu_time_sec,seconds,BGWO,BPSO-K10,1.08095392396,1.08373993754,-0.002786013580000013,0.09625637728762494,0.2606627136617149,-0.12230408732709608,0.11673206016709606,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,throughput_records_sec,records/second,BGWO,BPSO-K10,2955661.5948137613,3011769.926277959,-56108.33146419758,197195.83866688103,-1.6686587492641614,-300959.29565520905,188742.6327268139,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,wall_time_sec,seconds,BGWO,BPSO-K10,1.0535492732792044,1.0558344791398848,-0.002285205860680395,0.09204511999358568,0.28239316680270266,-0.11657431323671723,0.11200390151535643,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,absolute_peak_rss_mib,MiB,BGWO,BPSO-K10,164.833671875,161.633671875,3.1999999999999944,0.06171071446899619,1.9797962133973914,3.123376030443645,3.276623969556344,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,incremental_peak_rss_mib,MiB,BGWO,BPSO-K10,10.52,6.0175,4.5024999999999995,0.029843340965783283,74.82418873723222,4.465444599340673,4.539555400659326,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,inference_latency_sec,seconds,BGWO,BPSO-K10,0.06942050248093437,0.04792257869936293,0.02149792378157144,0.015763937271993392,51.00532208575062,0.0019244111426231433,0.04107143642051974,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,per_record_latency_sec,seconds,BGWO,BPSO-K10,2.479303660033371e-06,1.7115206678343905e-06,7.677829921989802e-07,5.629977597140498e-07,51.00532208575063,6.872896937939815e-08,1.4668370150185623e-06,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,process_cpu_time_sec,seconds,BGWO,BPSO-K10,0.07157113415999997,0.04947482230000001,0.02209631185999996,0.01639494463917899,50.904020081948175,0.0017393001203022639,0.042453323599697654,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
