stage,classifier,configuration_id,phase,metric,unit,seed_count,mean_of_seed_means,std_of_seed_means,min_of_seed_means,max_of_seed_means,feature_count,input_dataframe_memory_bytes,numpy_dense_nbytes,serialized_model_bytes,measurement_provenance,aggregation_hierarchy
V0.9-F,decision_tree,MI-K11,inference,throughput_records_sec,records/second,5,2876241.275259992,193254.12336060315,2596886.0499456404,3094461.121779765,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,inference,wall_clock_elapsed_sec,seconds,5,13.474488639831543,0.5084063624333394,12.973625302314758,14.047776055335998,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,inference,wall_time_sec,seconds,5,1.1288212995196225,0.12549555063711493,1.0181839252021745,1.2931437940016621,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,training,absolute_peak_rss_mib,MiB,5,156.39265625000002,0.05748388976929055,156.30859375,156.462890625,11,2464132,2464000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,training,incremental_peak_rss_mib,MiB,5,2.77,0.014252192813739213,2.75,2.7875,11,2464132,2464000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,training,inference_latency_sec,seconds,5,0.050020929559541405,0.006326349195057099,0.04216778380068718,0.057959350598684976,11,2464132,2464000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,training,monotonic_elapsed_sec,seconds,5,13.427420297140197,0.9745174782210191,12.051838084901101,14.496219614298024,11,2464132,2464000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,training,per_record_latency_sec,seconds,5,1.7864617699836218e-06,2.2594104268061074e-07,1.5059922785959705e-06,2.069976807095892e-06,11,2464132,2464000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,training,process_cpu_time_sec,seconds,5,0.05157506139999997,0.006482138859831884,0.04337131379999994,0.05965837349999994,11,2464132,2464000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,training,standby_gap_sec,seconds,5,1.000886841211468e-06,1.2379855921823896e-07,8.168950444087386e-07,1.1441006790846586e-06,11,2464132,2464000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,training,throughput_records_sec,records/second,5,580431.8454036275,71477.13182625476,491688.1261368691,670725.0483503665,11,2464132,2464000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
